,overall,reviewText
0,5.0,No close captions! No subtilies! pissing me off still.. end up gave that dvd to my mom. I love this movie.. I remember when I saw it on television once... man! freaking pissing me off when found out has no captions!
1,4.0,"IDLE HANDS is a movie that I remember always being on the USA Network when I was really young, and I remember it was a sick movie. It still is, but now older (but not wiser), I see this movie for how it should be seen: a twisted little gem that turns the Dawson's Creek world inside out. Yes, SCREAM did it too, but for some reason, the way IDLE HANDS shows us a guy that loves the girl next door and has two dumb buddies like every bad teen movie ever makes the fact that the movie is about a stoner that kills his parents and best friends (who come back as freaking zombies) with his possessed right hand (hi, Ash) so much sweeter. Yes, maybe I'm reading too much into it, but this movie really is underrated in my opinion. It has great music (especially The Offspring's version of The Ramones' I WANNA BE SEDATED), a clever script, great performances (especially by Seth Green & Elden Henson as the zombified buddies Mick and Pnub, who didn't walk up the stairway to Heaven because ""it was too far""), and sly direction by Rodman Flender, who has done TALES FROM THE CRYPT episodes, which at times this movie shares its tone with. Overall, IDLE HANDS is great for horror fans that like their horror with a wink and a nod, and it even throws in some unnecessary nudity, just like the good ol' days."
2,4.0,"Wow! I can't recall the last time I saw so many heated reviews.

I saw this movie awhile back so I'm a rusty review. Pardon me if I miss a few fine points but I can't watch it again. It's just too painful. When I saw it I saw my teenage life in a movie and wanted to just run out of the room. I didn't grow up in SLC but I did get transplanted from a large city into a small Midwest town with a fringe 'punk' scene during the second or third wave of punk. This movie is such a freaking history lesson because it describes a time when there was no Hot Topic (i.e. Punk was subculture and had no real money cashing in on it) and punk was a mostly unwanted subculture. If you looked like these kids during this time period you WERE the enemy, no matter how true your Anarchist morals might be. Just listening to the Dead Kennedy's in public was an act of Communism. See how I didn't say 'act of terrorism' there? Middle East terrorism was a thing of the late 70's so the hatred was against Communism. If you were anti-Reagan and said something as simple as 'what's so bad about collective farming?' in the mid 80's you were likely to evoke some hostility.

And so many look back at the time with the lens of the internet and Wikipedia misguiding their view. You must understand that if punk (a very small and unpopular music genre) came to your town it was through import. Either a friend from a big city brought it or some lone independent record store carried it along with a few odd albums from the 70's, like Zappa, that you'd never heard or cared about. And that was all you got. You couldn't hyperlink from Johnny Rotten to Anarchy and try to figure out what that rally meant. You just saw pictures of the Sex Pistols pissing everyone off and thought, 'yeah, that sounds about right'. Punk was your shield. You may not have understood all it's underlying philosophy (like there's actually one they can all agree to) but you understood the reaction, and that was enough.

Now here's the next kicker that strikes me as a little funny. It's odd that people can't fathom two people can experience the same phenomenon differently or have a different take on it. Being a punk in say NYC 77 would have been much different than being one in 86 insert small Midwest town, '81 Manchester England or '82 Los Angeles. This movie can't capture every 'punk' experience or perspective everyone had and it shouldn't. What it does well is describe the isolation, outcast and sometimes bizarre lifestyle proclaiming yourself a 'punk' might put you into. The scene with the drug dealer where he's shooting the car hoping to sink it in Great Salt Lake wasn't exactly my personal experience but it wasn't too far from the 'anything could happen so watch out' feeling I had when I proclaimed myself a 'punk'.

I knew someone like every single character in the movie during my 'punk' phase, and while I didn't become a lawyer I did look back on it all as an absurd but necessary coming of age transition set to a very angry soundtrack (my personal soundtrack had Husker Du's 'Zen Arcade', Black Flags 'Who's Got the 10 1/2' and DK's 'Fresh Fruit' playing most of the time). Again, ALL of this was too insane to live one time around and watch a second time around.

What really struck me as profound is Steve-O's girlfriend who points out how punk is just another uniform. Maybe the movement didn't start out that way but we all know that's all it became. It pains me to see what my friends and I used to call 'safety hawks' sported by people trying to look trendy just as much as it pains me to see motorcycle guys riding around wearing Harley gear. It's too cliche' to have any meaning or impact any more. When punk got corporate sponsorship a'la Hot Topic it said it's final death knell. It sounded kind of like this: ghhgghgghgghhh! Ghaaahhhh. Gehhhhehhgggh! (cough, cough, roll on the floor dramatically).

Was Steve-O a poseur? God, how we threw that term around way back when. Well, how punk is 'punk'? What is punk? Is it the crybaby Clash of 'Sandanista' bleeding a left-leaning heart out for some idiotic third world problem I have no clue about or is it the thrash of Greg Ginn's guitar solo against a sea of seemingly mediocre music? Do you have to run for office as a joke, like Biafra, and keep up this anti-right atitude for life no matter how annoying (again, Biafra), or do you have to keep your hate face on like Rollins? Or were you no longer punk if you weren't hanging with the CBGB crowd in the mid-70's? What if you weren't in a band? And what about those God-Awful skaters that would hang around like  flies on punk's rotten corpse, are they punk? Is it all about fighting authority? What if you become an authority on fighting authority?

Lux Interior (the Cramps) would tell Steve-O, and you for that matter, 'You ain't no punk, YOU PUNK!' After throwing away enough of my life to some silly movement that expressed my anger quite vividly I'd say Steve-O was  just as punk as anything else that came down the pike. I'm just glad he had the sense to move on and not let an art fad become his life. That's right hanger on-er's. Punk was just one big art fad. Time to let go and find something else or find nothing at all.

Great movie, F-You."
3,2.0,"Saw Resident Evil 2. Without going into FULL detail, allow me to say this:

What a LOAD!

Tell you what, if you liked the first movie, then watch this only if you want an excuse to create a big budget, blow-every-flipping-thing-up, bridge to another possible sequel.

I swear, Paul Anderson is films version of Piers Anthony (sp?). He doesn't know how to end a movie, so he stops them all on some freaking Joss Weadon cliffhanger.

Y'know Paul, sometimes we WANT endings to our films. We want to be able to have that last sigh of relief when a film ends. We want to feel like something is concluded. We DON'T all want to be left hanging at the end of everyone of your films. Every once and a while is fine, but not EVERY movie. That kind of crap makes me wary of wanting to see the future releases of Driver and Necropolis. Heck, if he WANTED a cliffhanger, he could have stopped the movie 5 minutes from where it did end and I would have been less irritated.

The ending isn't the only fault of this Summer ending fluff. Mila Jovavich was the best actor of the film. Now, while I'm not down playing her growing talent, look at this closer. When your highest-grade actor is an ex-super model, something is wrong. Most of the other actors had some kind of Van Damme ascent and made it hard to understand them alone. The others padded their sub par acting with guns blazing at things (most which weren't zombies, more on that later) or a blazing flurry of F-Words.

It is with that word and the pointless topless scenes that I think garnered the ""R"" rating, which is pretty flipping sad.

All the characters were stale and you began to not really care if one guy lived or died. When the characters did die, there wasn't ever that feeling of ""Aw, man, I really liked him/her too"".

Now, I KNOW the Resident Evil series isn't all about zombies. It's not a plain zombie story, sure, but they sure as hell have a lot to do with it. It played a lot into the first movie. THEY were it. THEY were the baddies, while sharing the light with the ONE Licker and the amnesia filled dude with the attitude.

The zombies this round are filler in the film. The movie just seems to flash back at them, as if to say ""Oh yeah, they're here too"". The Licker was even downplayed as a minimal threat to the people who had guns. In the first, it ransacked everything in sight and began evolving and becoming badder. This time, there's like TEN of them. You're thinking, ""Holy crap, they're screwed"".

Not necessarily so, Lois.

Instead, one guy gets offed and the rest are either shot, run over, blowed up or Crushed By Christ(TM).

Naturally, our heroes trip into a graveyard all filled with fog (that only seems to be THERE) and one of our ""Zombie Reminders"" shine as a bunch of dudes pop from the ground and start dancing around with Michael Jackson to bring in the long awaited Thriller 2: Zombie Boogaloo.

Okay, maybe not, but it would make more sense as to why they arrived than the NON reason the movie gave.

Then there's Nemesis. Ah, Nemesis. One of the biggest Baddies of them all. He was mysterious, he was tough, he wore black and he whooped your butt. Now, though, he was more like Frankenstein with a gun. He just kind of lumbered around Raccoon City, making himself known and doing very little. Then there's this hand-to-hand fight he was with Alice that's the equivalent of Nancy Fowler Archer, of Attack of the 50 Foot Woman fame, battling the Stay Puffed Marshmallow Man. They just shuffled about and twitched at each other. I couldn't tell what was going on half the time cause of Paul's EXTREME close-ups, which were, more than likely, hiding the characters physical flaws.

All of this combined makes me want to see the possibility of a three as much as I want to fork over 7.50 to see a third Star Wars.

Very Little."
4,5.0,the visuals rock. it is very scary. the music is perfect for it. this is possibly the scariest movie ever made. i jumped many times.  it was better than i expected. i think  everyone should watch it plus michelle rodriguez is freaking hott.
5,4.0,"I think whoever put this DVD together hates the movie and wanted to torture us with a Fullscreen version just for yuks. All menu and DVD extras (including the 3 sing-alongs) show it in Widescreen but the main movie is in Fullscreen. Why? It's nuts.

Hey I don't know if this has been discussed over the years or not but Albert Finney's Daddy Warbucks voice is an impersonation of director John Huston's. It sounds just like him! Close your eyes during his dialog (especially near the beginning when he's more curmudgeon-like) and check it out.

Everything is great about this DVD except that freaking Fullscreen treatment. WHY DID THEY DO THAT ANYWAY???"
6,4.0,"When I was a teenager, I looked at the few infomercials stating the Monty Python series on VHS and DVD, I thought the series was just filler. But later, as I grew older, some of my relatives introduced me to one of its films--The Holy Grail. Through that hour-and-a-half I was laughing so hard at everything the movie represented. And as time wore, I was watching the TV series itself, and that show was actually a little better than what I expected.

Now appreciating the entire franchise itself, I managed to pick up the Holy Grail movie itself on a 2-disc Special Edition DVD for $14 at a locat Target store and I was freaking happy.

What exactly is the movie about? Well, this is the retelling of the story of King Arthur, his uniting with the Knights of the Round Table at Camelot, and of course, the search for the Holy Grail--all told in a British humor fashion. Pointless, you may say, but still funny as hell nonetheless. And what a funny crew of Knights of Camelot, too; we have: Arthur, King of the Britons, Sir Bedevere the Wise (I think), Sir Lancelot the Brave, Sir Gallahad the Pure, and Sir Robin the Not-Quite-So-Brave-as-Sir-Lancelot. When a new strategy was planned along the way though, the Knights split up and went seperate ways to find the Grail, and that's when the comedy ensues. You'll see Sir Robin meet a giant three-headed knight whose three heads bicker at each other; Sir Gallahad run into a castle filled with sex-driven maidens; Sir Lancelot try to rescue a princess locked in a castle only to find out it's really a wussy prince trying to escape from being forced by his father to marry someone in favor of the bride's landscape; and King Arthur and Sir Bedevere meet the Knights who say ""Ni!"" that order the two to find a shrubbery with their necks at stake. In addition you'll find the entire crew meet up a castle full of disrespectful French and a certain rabbit...

Now on to the DVD itself. The video quality here has been remastered, but not restored; the picture is still grainy and muddy, but the colors are bright and solid nonetheless. The audio  quality could've been better, though. Although we do get a Dolby Mono soundtrack, it's pretty muffled, just like in the VHS copy. The Dolby 5.1 track, though, is much clearer than the mono, but doesn't thump the entire house-a good track anyway.

As with the extras, there's plenty to keep you happy. The first disc contains two fun commentary tracks by the Pythonites themselves and a Pop-up video track for storyboard comparisons.
Also included are subtitles ""for people who don't like the film"". There's also an extra 24 seconds added in the film...

Disc Two carries the bulk of the extras. For starters, we have two fun featurettes: ""The Quest For the Holy Grail Locations"" where Terry Jones and Michael Palin show which landscapes were the entire movie shot; and ""How to use your Coconuts"", an interesting feature on how to carve your coconut to a point where you can start banging them to make a trotting horse sound.
Also there's an interesting newscast featurette called ""On Location with the Pythons"", where the BBC News crew talks to the Python crew about the making of the film. In addition you'll also get art and photo galleries, it's theatrical trailer, Three Sing-alongs from the film, and a few more pointless features for the Python fan.

In conclusion, I still like the film as much as the DVD treatment here. And I appreciate the show itself,too. So buy this film and enjoy this film...

YOU DAFFY ENGLISH...KUH-NIGGETS."
7,3.0,"Well, I saw the original first, which, eh, that one was okay too but this one was kind of a little less okay in some parts a little more okay in other parts. For one thing. Ugh, the acting was just really really bad.  It made the movie as a whole just look like a really really low budget old godzilla movie.  The script was just as bad.

However, like the godzilla movies, there's just something interesting about the plot that grabs you.  Now the original grudge done in japan ju-on would've been better but it was a little dragged out and well, i'm too used to american special effects. low budget america and low budget japan are two different things. low budget america means cartoon like computer graphics that glow off the screen and looks like a joke, and japan low budget is like, home video camera and planets hanging from little strings.  don't know how anime manages to rock so much with their graphics but i don't think their film industry's quite there yet.

anyway, so ju-on had too many random characters that all did their own thing and met up with the grudge. it was okay but kind of like reading a weekly comic book series with a new episode and adventure every week. so what america does is realize this and chop it up and cut out characters and shorten other characters parts to leave room for a main character and i'm left even more confused with the newer version than the original.

so now i'm complaining that ju-on dragged, and the grudge was a rushed chopped up piece of bad acted out liver with sarah michelle geller in it who really really disappointed me considering the fact that i know who she is and therefore i want to be impressed by a veteran actress and instead had to sit there thinking how old she was starting to look. that's bad. when i sit there just thinking that you're more wrinkled than you were in buffy that means you need to try harder.

however, this is why it gets three stars and not two or one. the japanese version didn't really go anywhere. it introduced the grudge concept. showed off the grudge concept. end. it just did it and that was it. the american version tried to tie it together a little and show why it happened and explained things in a more timely manner. basically like, lets unfold this mystery. this is the mystery building up. this is why. japan was kind of like. this is the grudge. growl. scare. roar. grudge. grrrr. end.

like i said. both movies kind of sucked. i liked it cause i like horror movies but ju-on impressed me more with the scary scenes even with the lesser special effects and comic book like pace and america kind of bored me in that way with the rushed chopped liver aspect. they just didn't reproduce the scary moments well enough and didn't come up with enough unique ones all on their own. but the end was a teeny tiny bit better in the american version. not the whole end. but the endish area was a little better. however, the bad part was america threw in a really cheap thing all of a sudden out of nowhere that america always does where the main character tries to be the hero whereas in the japanese version she was the victim only. end.

My whole point? good concept. done badly. japan's was better overall.  should've tried harder or not at all. could've been great i think. they had the right idea to try a remake just didn't give it their all. they should've taken full advantage of our special effects because that's really sad that the planets hanging from little strings in a video camera impressed me more than our own computer graphics.

i also liked and hated the fact that it was also in japan. for godsake's why don't you just use the same freaking movie set and actors for crying out loud. geez. can't you be a little creative?  not only are we gonna remake a movie almost word for word and image for image, lets make it in the exact same house, in the exact same city, in the exact same foreign language. its like, why'd you even bother with an american version if you're gonna make it in frickin japan. just so you could replace the main character for sarah michelle geller?  geez, all you really had to do was glue and paste then."
8,5.0,"SO I popped this one in, after having read a cursory blurb about it but not enough to remember why I had been interested in the first place. I'm sitting there, for the first half hour or so, wondering why I am even bothering. Ok, they are in South America, work for an oil company, big deal, what's the point.....then suddenly it starts getting good. And by good I mean expletive-deleted-in-a-chariot-driven-sidecar TENSE. When you have two trucks filled with explosive gas (and by explosive i mean, a tablespoon would wipe out your HOUSE) being driven by two sets of very foolish men over rutted, hilly, barely-there roads for the next hour and a half, you tell ME how easy it is to remember where you are. All you are doing is looking at that freaking screen. Wow. Most of us have been weened on violence and blood and tension since we could walk. And you might not believe me when I say you WILL be riveted. ""Oh, its OLD"" you cry. ""ITS IN BLACK AND WHITE!"" Shut up. Watch it. You will need an extra set of undies. Its brilliant, its mad, and it is merciless. And worth every minute of your time."
9,5.0,"This movie makes me CRY (like ugly cry) every freaking time.  Such a sweet movie.  It has become a Christmas classic in my family, and it is one that I have to watch every year."
